City,Latitude,Longitude
Córdoba,37.8845813,-4.7760138
Denizli,37.7733197,29.0869273
Derby,52.9212617,-1.4761491
Diyarbakır,37.9167467,40.2227753
Dneprodzerzhinsk,48.5167748,34.6068797
Dnepropetrovsk,48.4680221,35.0417711
Donetsk,48.0158753,37.8013407
Dortmund,51.5142273,7.4652789
Dudley,52.5110832,-2.0816813
Duisburg,51.434999,6.759562
Dundee,56.4605938,-2.97019
Dzerzhinsk,56.2382157,43.4617405
Düsseldorf,51.2254018,6.7763137
Eindhoven,51.4392648,5.478633
Ekaterinoburg,56.839104,60.60825
Elche,38.2653307,-0.6988391
Elâzığ,38.674771,39.2224523
Engels,51.5013775,46.1233093
Enschede,52.2209855,6.8940537
Erfurt,50.9777974,11.0287364
Erzurum,39.9063215,41.2727638
Eskişehir,39.6821156,31.0723476
Espoo,60.2241869,24.6603626
Fife,56.3333331,-3.0000001
Firenze,43.7698712,11.2555757
Foggia,41.50281055,15.452899609627728
Frankfurt Am Main,50.1106444,8.6820917
Fuenlabrada,40.282476,-3.7923422
Galati,45.4338215,28.0549395
Gateshead,54.9625789,-1.6019294
Gaziantep,37.0611756,37.3793085
Gdynia,54.50383255,18.462806155884614
Gebze,40.8006696,29.431767
Gelsenkirchen,51.5110321,7.0960124
Genova,44.40726,8.9338624
Genève,46.2017559,6.1466014
Gijón,43.5450394,-5.6626443
Gliwice,50.30113145,18.662347227971978
Gomel,52.4238936,31.0131698
Gorlovka,48.3058686,38.0027664
Grodno,53.6834599,23.8342648
Hagen,51.3582945,7.473296
Halle,51.4825041,11.9705452
Hamm,51.6804093,7.815197
Hannover,52.3744779,9.7385532
Herne,51.5380394,7.219985
Highland,57.5066357,-5.0038367
Hospitalet De Llobregat,41.3598601,2.0997927
Huntingdonshire,52.37108795,-0.22352977889662973
Ioshkap-Ola,56.6328248,47.8972462
Irkutsk,52.289597,104.280586
Isparta,37.9465412,30.9602093
Ivano-Frankovsk,48.9225224,24.7103188
Ivanovo,56.9984452,40.9737394
Izhevsk,56.866557,53.2094166
Jérez De La Frontera,36.6816936,-6.1377402
Kahramanmaraş,37.7830345,36.830655
Kaliningrad,54.710128,20.5105838
Kaluga,54.5101087,36.2598115
Kamensk-Uralsky,56.415451,61.917797
Kassel,51.3154546,9.4924096
Kaunas,54.8982139,23.9044817
Kayseri,38.6582232,35.5546374
Kazan,55.7823547,49.1242266
Kemerovo,54.5335781,87.342861
Kertch,45.3534002,36.4538645
Khabarovsk,48.481403,135.076935
Kharkov,49.9902794,36.2303893
Kherson,46.6412644,32.625794
Khmelnitsky,49.4009603,24.3159044
Kiel,54.3227085,10.135555
Kielce,50.85403585,20.609914352101452
Kiev,50.4500336,30.5241361
Kirklees,53.64226345,-1.7809432689150708
Kirov,58.6035257,49.6639029
Kirovograd,48.5105805,32.2656283
Kishinev,47.0245117,28.8322923
Klaipeda,55.7127529,21.1350469
Knowsley,53.4552358,-2.8546852
Kolomna,55.0938743,38.7670121
Komsomolsk-Na-Amure,50.550877,137.020782
Konya,37.8719963,32.4844015
Kosice,48.7172272,21.2496774
Kostroma,57.7679158,40.9269141
Kovrov,56.374603,41.311676
Kragujevac,44.0125745,20.91877
Kraków,50.0469432,19.997153435836697
Kramatorsk,48.7389415,37.5843812
Krasnodar,45.0352566,38.9764814
Krasnoyarsk,63.3233807,97.0979974
Krefeld,51.3331205,6.5623343
Krementchug,49.0629553,33.403516
Kryvy Rig,47.8712051,33.39082793204955
Kurgan,55.7655302,64.5632681
Kursk,51.739433,36.179604
Köln (Cologne),50.938361,6.959974
Kütahya,39.2522508,29.4937732
Kırıkkale,39.8473604,33.5144853
La Coruña,43.3712091,-8.3958768
Las Palmas,28.128874,-15.4349448
Le Havre,49.4938975,0.1079732
Leganés,40.3281942,-3.76527
Leipzig,51.3406321,12.3747329
Leskovac,42.9951304,21.9464271
Leverkusen,51.0324743,6.9881194
Lille,50.6365654,3.0635282
Linz,48.3059078,14.286198
Lipetsk,52.6041877,39.5936899
Livorno,42.79021905,10.340281392353766
Lublin,51.218194499999996,22.554677565192677
Lugansk,48.5717084,39.2973153
Luton,51.8784385,-0.4152837
Lutsk,50.7450733,25.320078
Lvov,49.841952,24.0315921
Lyubertsy,55.6783142,37.89377
Lódz,51.7687323,19.4569911
Lübeck,53.866444,10.684738
Lüdwigshafen,49.4704113,8.4381568
Macclesfield,53.2606635,-2.1255158
Magdeburg,52.1315889,11.6399609
Magnitogorsk,53.4242184,58.983136
Maikop,44.6062079,40.104053
Mainz,50.0012314,8.2762513
Makeyevka,48.0448144,37.9635093
Makhachkala,42.9830241,47.5048717
Malatya,38.3483098,38.3178715
Malmö,55.6052931,13.0001566
Manisa,38.6155029,27.4255716
Mannheim,49.4892913,8.4673098
Mariupol,47.0957648,37.5499621
Melitopol,46.8487478,35.3676448
Mersin,36.8117583,34.6292679
Messina,38.1937571,15.5542082
Miass,55.065304,60.108337
Minsk,53.902334,27.5618791
Miskolc,48.1030643,20.7900429
Modena,44.5384728,10.935960870530739
Mogilev,53.7254147,30.3863145
Moskva (Moscow),55.7504461,37.6174943
Murcia,37.9923795,-1.1305431
Murmansk,68.970665,33.07497
Mykolaiv,46.932879549999996,32.00211658147113
Mytishchi,55.9094928,37.7339358
Móstoles,40.3238525,-3.8649214
Mönchengladbach,51.1946983,6.4353641
Mülheim/Ruhr,51.4197445,6.8724603
Münster,51.9625101,7.6251879
Naberezhnye Tchelny,55.672485,52.2752914
Nakhodka,42.8246489,132.8926
Naltchik,43.4769604,43.5966578
Napoli (Naples),40.8359336,14.2487826
Neuss,51.1981778,6.6916476
New Forest,50.8556349,-1.5957970090820606
Nice,43.7009358,7.2683912
Nijmegen,51.842574850000005,5.838960628748229
Nikopol,43.7070803,24.8996563
Nis,43.3211301,21.8959232
Nizhenvartovsk,60.9339411,76.5814274
Nizhnekamsk,55.6412879,51.8160376
Nizhny Novgorod,56.328571,44.003506
Nizhny Tagil,57.905149,59.9508466
Norilsk,69.3498394,88.200517
North Somerset,51.39663045,-2.769128923864108
North Tyneside,55.02979945,-1.5082559996141889
Northampton,52.2381355,-0.8963907
Novocherkassk,47.41066,40.101986
Novokuznetsk,53.757607,87.136101
Novorossiysk,44.7239578,37.7690711
Novosibirsk,55.0282171,82.9234509
Nürnberg (Nuremberg),49.415044699999996,11.057945818559876
Oberhausen,51.4696137,6.8514435
Odessa,46.4873195,30.7392776
Oldenburg,53.1389753,8.2146017
Oldham,35.3907651,-102.6193428
Olsztyn,53.7767239,20.477781292210345
Omsk,54.991375,73.371529
Oradea,47.0549163,21.9285231
Orel,52.9685433,36.0692477
Orenburg,51.767452,55.097118
Orsk,51.2305015,58.4738015
Oslo,59.9133301,10.7389701
Osmaniye,37.073671,36.255941
Ostrava,49.8349139,18.2820084
Oviedo,43.3605977,-5.8448989
Padova,45.4077172,11.8734455
Palermo,38.1112268,13.3524434
Pamplona,42.8184538,-1.6442556
Parma,44.8013678,10.3280833
Penza,53.200001,45.0
Perm,58.5951603,56.3159546
Perugia,43.1070321,12.402996209906487
Peterborough,52.5725769,-0.2427336
Petropavlovsk-Kamchatsky,53.0199838,158.6471356
Petrozavodsk,61.790039,34.390007
Piraiévs,37.9431594,23.6470593
Pitesti,44.8572343,24.8719422
Plzen,49.7477415,13.3775249
Podgorica,42.4415238,19.2621081
Podolsk,55.4308841,37.5453056
Poltava,49.5897423,34.5507948
Porto,41.1494512,-8.6107884
Poznan,52.4006632,16.91973259178088
Prato,43.935718050000006,11.09414726770089
Prokopyevsk,53.890972,86.737663
Pskov,57.817398,28.334368
Pécs,46.0763222,18.2280746
Radom,51.41716055,21.160944780832743
Reggio Di Calabria,38.1035389,15.6397556
Rhondda With Cynon & Taff,56.9493977,24.1051846
Riga,45.3271752,14.4412309
Rijeka,53.6153659,-2.1557561
Rochdale,54.0924445,12.1286127
Rostock,47.2213858,39.7114196
Rostov-Na-Donu,53.4310417,-1.355187
Rotherham,51.9228934,4.4631786
Rotterdam,43.8480413,25.9542057
Roussé,50.6196175,26.2513165
Rovno,51.5276264,81.2176174
Rubtsovsk,50.270303,18.864375646334572
Ruda Slaska,54.6295687,39.7425039
Ryazan,58.050373,38.834637
Rybinsk,50.013064,22.016143457294312
Rzeszów,52.0799838,4.3113461
S-Gravenhage,49.234362,6.996379
Saarbrücken,41.5421013,2.1138977
Sabadell,45.4401467,4.3873058
Saint-Étienne,40.9651572,-5.6640182
Salamanca,53.361687,55.924641
Salavat,53.4877463,-2.2891921
Salford,52.4414934,9.6733314
Salonika,53.198627,50.113987
Samara,41.2892334,36.328565
Samsun,43.3224219,-1.9838889
San Sebastián,52.5151278,-2.013562373718973
Sandwell,28.469648,-16.2540884
Santa Cruz De Tenerife,43.4620412,-3.8099719
Santander,43.8519774,18.3866868
Sarajevo,54.18671,45.18383
Saransk,51.530018,46.034683
Saratov,53.5034122,-2.9714708
Sefton,44.6054434,33.5220842
Sevastopol,64.563385,39.823769
Severodvinsk,37.3886303,-5.9953403
Sevilla,47.7119167,40.2115699
Shakhty,45.7973912,24.1519202
Sibiu,44.9521457,34.1024858
Simferopol,39.4191717,37.1012388
Sivas,41.9960924,21.4316495
Skoplje,54.77897005,32.04718121915615
Smolensk,43.5854823,39.723109
Sochi,51.1712468,7.0838996
Solingen,50.2780834,19.1342944
Sosnowiec,50.9843053,-2.776156179800813
South Somerset,54.969874250000004,-1.4476805465645368
South Tyneside,51.5388241,0.7128137
Southend-On-Sea,43.5116383,16.4399659
Split,53.4535471,-2.7343231
St Helens,59.938732,30.316229
St Petersburg,51.298038,37.833202
Starsy Oskol,45.0433245,41.9690934
Stavropol,53.632374,55.952259
Sterlitamak,53.407901,-2.160243
Stockport,54.564094,-1.3129164
Stockton-On-Tees,53.0162014,-2.1812607
Stoke-On-Trent,48.7784485,9.1800132
Stuttgart,50.9070007,34.798386
Sumy,54.9058512,-1.3828727
Sunderland,61.254032,73.3964
Surgut,51.6195955,-3.9459248
Swansea,61.6685237,50.8352024
Syktivkar,53.15538,48.474121
Syzran,53.4301818,14.5509623
Szczecin,46.2546312,20.1486016
Szeged,47.2153657,38.9285216
Taganrog,59.4372155,24.7453688
Tallinn,52.72879,41.45536
Tambov,53.4786454,-2.0770211633705165
Tameside,40.54881555,17.08058012454743
Taranto,41.5629885,2.0102442
Tarrasa,36.9167086,34.8842859
Tarsus,46.8357379,29.665151819060206
Ternopol,51.63196015,-1.8336279745620758
Thamesdown,51.585618749999995,5.066061908648313
Tilburg,45.7538355,21.2257474
Timisoara,41.3305141,19.825562857582966
Tirana,46.5729338,24.5455514
Tirgu-Mures,53.51495,49.407574
Tolyatti,58.6124279,82.0475315
Tomsk,53.0145361,18.596583144651557
Torun,43.1257311,5.9304919
Toulon,41.0058605,39.7180928
Trabzon,53.41893605,-2.359297161165271
Trafford,45.6504806,13.7931263
Trieste,45.2678347,1.7706797
Tula,60.4517531,22.2670522
Turku,56.858675,35.9208284
Tver,57.153534,65.542274
Tyumen,46.370935349999996,6.231168493722434
Ufa,51.8357841,107.5839105
Ulan-Ude,54.3107593,48.3642771
Ulyanovsk,59.8586126,17.6387436
Uppsala,43.7972447,131.9520752
Ussuriisk,52.080985600000005,5.12768396945229
Utrecht,46.9574273,142.727438
Uzno-Sakhalinsk,38.609666,29.3306506
Uşak,41.6521328,-4.728562
Valladolid,13.2904027,108.4265113
Van,60.3091871,25.0364526
Vantaa,43.2069025,27.9150855
Varna,58.5209862,31.2757862
Velikiy Novgorod,45.4371908,12.3345898
Venezia,45.4384958,10.9924122
Verona,42.2376602,-8.7247205
Vigo,54.6870458,25.2829111
Vilnius,49.2320162,28.467975
Vinnutsya,55.1930197,30.2070437
Vitebsk,42.8465088,-2.6724025
Vitoria-Gasteiz,43.024593,44.68211
Vladikavkaz,56.1288899,40.4075203
Vladimir,43.1150678,131.8855768
Vladivostok,47.5128177,42.1717606
Volgodonsk,48.7081906,44.5153353
Volgograd,59.218876,39.893276
Vologda,48.782102,44.7779843
Volzhsky,51.6605982,39.2005858
Voronezh,53.6829541,-1.4967286
Wakefield,52.5847949,-1.9822687
Walsall,53.3899497,-2.5943178
Warrington,55.916667,-3.5
West Lothian,50.0820384,8.2416556
Wiesbaden,53.5457188,-2.6264624
Wigan,51.264018,7.1780374
Wuppertal,51.66356185,-0.818083680966309
Wycombe,62.027287,129.732086
Yakutsk,57.6263877,39.8933705
Yaroslave,50.31428055,18.781576310579183
Zabrze,45.8131847,15.9771774
Zagreb,47.8507859,35.1182867
Zaporozhye,41.6521342,-0.8809428
Zaragoza,55.9964233,37.198534
Zelenograd,50.2598298,28.6692345
Zhitomir,55.1674213,59.6792625
Zlatoust,47.3744489,8.5410422
Zürich,57.0462626,9.9215263
Ålborg,56.1496278,10.2134046
Århus,41.114126150000004,27.751715247805304
Çorlu,40.5698389,34.7269292
Çorum,40.0800144,29.5096448
İnegöl,36.6215136,36.26541810027814
İskenderun,38.4147331,27.1434119
İzmir,40.7637791,29.9303504
İzmit,37.2595198,39.0408174
